Date,Real,Predicted,,RSME,R-Sqaured
7/20/2018,70.46,62.810516,,0.05053,0.76131
7/23/2018,67.89,62.868763,,,
7/24/2018,68.52,61.4956,,,
7/25/2018,69.3,62.48064,,,
7/26/2018,69.61,61.267677,,,
7/27/2018,68.69,62.83646,,,
7/30/2018,70.13,61.770985,,,
7/31/2018,68.76,61.153843,,,
8/1/2018,67.66,61.719284,,,
8/2/2018,68.96,61.694996,,,
8/3/2018,68.49,62.196445,,,
8/6/2018,69.01,62.601326,,,
8/7/2018,69.17,60.793644,,,
8/8/2018,66.94,61.084244,,,
8/9/2018,66.81,61.147526,,,
8/10/2018,67.63,59.912323,,,
8/13/2018,67.2,60.678635,,,
8/14/2018,67.04,58.931713,,,
8/15/2018,65.01,59.291424,,,
8/16/2018,65.46,59.102253,,,
8/17/2018,65.91,58.438374,,,
8/20/2018,66.43,58.915318,,,
8/21/2018,67.35,58.480373,,,
8/22/2018,67.86,58.125282,,,
8/23/2018,67.83,58.11253,,,
8/24/2018,68.72,59.891514,,,
8/27/2018,68.87,60.580948,,,
8/28/2018,68.53,61.14751,,,
8/29/2018,69.51,61.870914,,,
8/30/2018,70.25,61.461876,,,
8/31/2018,69.8,62.59833,,,
9/2/2018,69.92,62.13509,,,
9/3/2018,70.12,61.85361,,,
9/4/2018,69.87,62.281948,,,
9/5/2018,68.72,62.201187,,,
9/6/2018,67.77,61.744316,,,
9/7/2018,67.75,62.551056,,,
9/10/2018,67.54,60.48085,,,
9/11/2018,69.25,60.803246,,,
9/12/2018,70.37,60.116016,,,
9/13/2018,68.59,60.234116,,,
9/14/2018,68.99,60.989105,,,
9/17/2018,68.91,61.510227,,,
9/18/2018,69.85,61.334557,,,
9/19/2018,71.12,61.345703,,,
9/20/2018,70.8,61.951313,,,
9/21/2018,70.78,61.983932,,,
9/24/2018,72.08,61.757156,,,
9/25/2018,72.28,61.527184,,,
9/26/2018,71.57,61.199245,,,
9/27/2018,72.12,63.981915,,,
9/28/2018,73.25,65.69233,,,
10/1/2018,75.3,65.93486,,,
10/2/2018,75.23,65.972694,,,
10/3/2018,76.41,66.98079,,,
10/4/2018,74.33,68.49961,,,
10/5/2018,74.34,67.583046,,,
10/8/2018,74.29,67.46968,,,
10/9/2018,74.96,67.41713,,,
10/10/2018,73.17,67.49544,,,
10/11/2018,70.97,68.14904,,,
10/12/2018,71.34,66.471756,,,
10/15/2018,71.78,65.48674,,,
10/16/2018,71.92,63.946503,,,
10/17/2018,69.75,64.83236,,,
10/18/2018,68.65,65.6328,,,
10/19/2018,69.12,64.10785,,,
10/22/2018,69.17,63.335556,,,
10/23/2018,66.43,62.239967,,,
10/24/2018,66.82,61.631046,,,
10/25/2018,67.33,59.862755,,,
10/26/2018,67.59,59.162052,,,
10/29/2018,67.04,59.217518,,,
10/30/2018,66.18,59.048145,,,
10/31/2018,65.31,60.17302,,,
11/1/2018,63.69,58.77744,,,
11/2/2018,63.14,56.479767,,,
11/5/2018,63.1,55.811222,,,
11/6/2018,62.21,57.98085,,,
11/7/2018,61.67,57.11896,,,
11/8/2018,60.67,56.230385,,,
11/9/2018,60.19,54.4313,,,
11/12/2018,59.93,52.290947,,,
11/13/2018,55.69,52.439903,,,
11/14/2018,56.25,52.25558,,,
11/15/2018,56.46,52.005276,,,
11/16/2018,56.46,49.585354,,,
11/19/2018,56.76,50.661175,,,
11/20/2018,53.43,51.55073,,,
11/21/2018,54.63,52.531048,,,
11/22/2018,54.02,48.854763,,,
11/23/2018,50.42,45.999256,,,
11/26/2018,51.63,45.846813,,,
11/27/2018,51.56,45.53794,,,
11/28/2018,50.29,46.2023,,,
11/29/2018,51.45,44.939503,,,
11/30/2018,50.93,46.601295,,,
12/3/2018,52.95,47.272003,,,
12/4/2018,53.25,47.919834,,,
12/5/2018,52.89,48.640697,,,
12/6/2018,51.49,47.63921,,,
12/7/2018,52.61,45.517117,,,
12/10/2018,51,45.902164,,,
12/11/2018,51.65,45.18432,,,
12/12/2018,51.15,47.380405,,,
12/13/2018,52.58,46.301174,,,
12/14/2018,51.2,44.56437,,,
12/17/2018,49.88,45.758083,,,
12/18/2018,46.24,44.501183,,,
12/19/2018,47.2,41.86921,,,
12/20/2018,45.88,40.789463,,,
12/21/2018,45.59,38.824665,,,
12/24/2018,42.53,39.91446,,,
12/25/2018,43.16,38.819977,,,
12/26/2018,46.22,36.322433,,,
12/27/2018,44.61,37.895187,,,
12/28/2018,45.33,35.97381,,,
12/31/2018,45.41,38.655228,,,
1/1/2019,45.89,37.33414,,,
1/2/2019,46.54,40.652695,,,
1/3/2019,47.09,43.036636,,,
1/4/2019,47.96,43.520927,,,
1/7/2019,48.52,42.89294,,,
1/8/2019,49.78,41.74579,,,
1/9/2019,52.36,43.98451,,,
1/10/2019,52.59,43.453312,,,
1/11/2019,51.59,43.985565,,,
1/14/2019,50.51,42.91494,,,
1/15/2019,52.11,46.521553,,,
1/16/2019,52.31,48.220303,,,
1/17/2019,52.07,47.910133,,,
1/18/2019,53.8,46.965168,,,
1/20/2019,53.65,46.16236,,,
1/21/2019,54.24,48.047073,,,
1/22/2019,52.57,48.198196,,,
1/23/2019,52.62,47.668537,,,
1/24/2019,53.13,46.763588,,,
1/25/2019,53.69,45.733917,,,
1/28/2019,51.99,45.188023,,,
1/29/2019,53.31,45.830246,,,
1/30/2019,54.23,43.50974,,,
1/31/2019,53.79,47.535995,,,
2/1/2019,55.26,48.094635,,,
2/4/2019,54.56,48.267323,,,
2/5/2019,53.66,50.492416,,,
2/6/2019,54.01,48.813446,,,
2/7/2019,52.64,50.029118,,,
2/8/2019,52.72,50.094097,,,
2/11/2019,52.41,48.48954,,,
2/12/2019,53.1,48.810223,,,
2/13/2019,53.9,49.048306,,,
2/14/2019,54.41,44.93342,,,
2/15/2019,55.59,44.918728,,,
2/17/2019,56.33,45.60064,,,
2/18/2019,56.27,46.252342,,,
2/19/2019,56.09,50.84327,,,
2/20/2019,56.92,47.036045,,,
2/21/2019,56.96,50.35314,,,
2/22/2019,57.26,51.337757,,,
2/25/2019,55.48,48.99492,,,
2/26/2019,55.5,50.78789,,,
2/27/2019,56.94,49.02975,,,
2/28/2019,57.22,49.35855,,,
3/1/2019,55.8,48.52482,,,
3/4/2019,56.59,46.701904,,,
3/5/2019,56.56,47.006298,,,
3/6/2019,56.22,49.87925,,,
3/7/2019,56.66,53.100407,,,
3/8/2019,56.07,51.860477,,,
3/11/2019,56.79,52.376816,,,
3/12/2019,56.87,51.18253,,,
3/13/2019,58.26,48.28211,,,
3/14/2019,58.61,49.278793,,,
3/15/2019,58.52,49.23929,,,
3/18/2019,59.09,53.96154,,,
3/19/2019,59.03,51.07809,,,
3/20/2019,59.83,52.007233,,,
3/21/2019,59.98,53.27368,,,
3/22/2019,59.04,52.493023,,,
3/25/2019,58.82,52.66904,,,
3/26/2019,59.94,50.698105,,,
3/27/2019,59.41,51.68662,,,
3/28/2019,59.3,53.720924,,,
3/29/2019,60.14,53.85997,,,
4/1/2019,61.59,52.446217,,,
4/2/2019,62.58,52.444157,,,
4/3/2019,62.46,51.43288,,,
4/4/2019,62.1,54.379414,,,
4/5/2019,63.08,57.4736,,,
4/8/2019,64.4,56.475574,,,
4/9/2019,63.98,53.03136,,,
4/10/2019,64.61,52.718334,,,
4/11/2019,63.58,54.87805,,,
4/12/2019,63.89,57.26234,,,
4/15/2019,63.4,58.655815,,,
4/16/2019,64.05,55.339302,,,
4/17/2019,63.76,55.913795,,,
4/18/2019,64,56.14253,,,
4/22/2019,65.7,56.99374,,,
4/23/2019,66.3,59.08272,,,
4/24/2019,65.89,56.500256,,,
4/25/2019,65.21,58.175724,,,
4/26/2019,63.3,59.555965,,,
4/29/2019,63.5,56.983337,,,
4/30/2019,63.91,56.060726,,,
5/1/2019,63.6,55.42978,,,
5/2/2019,61.81,56.405533,,,
5/3/2019,61.94,56.54721,,,
5/6/2019,62.25,55.48245,,,
5/7/2019,61.4,54.51441,,,
5/8/2019,62.12,55.25485,,,
5/9/2019,61.7,56.202744,,,
5/10/2019,61.66,56.156136,,,
5/13/2019,61.04,55.210686,,,
5/14/2019,61.78,53.977173,,,
5/15/2019,62.02,52.855877,,,
5/16/2019,62.87,52.65267,,,
5/17/2019,62.76,53.701103,,,
5/20/2019,63.1,54.98535,,,
5/21/2019,62.99,55.84886,,,
5/22/2019,61.42,57.003395,,,
5/23/2019,57.91,54.538937,,,
5/24/2019,58.63,54.118683,,,
5/26/2019,58.77,53.040855,,,
5/27/2019,59.16,49.211914,,,
5/28/2019,59.14,51.690903,,,
5/29/2019,58.81,54.58165,,,
5/30/2019,56.59,53.713554,,,
5/31/2019,53.5,55.939117,,,
6/3/2019,53.25,48.52973,,,
6/4/2019,53.48,46.759514,,,
6/5/2019,51.68,46.36019,,,
6/6/2019,52.59,47.174057,,,
6/7/2019,53.99,50.56018,,,
6/10/2019,53.26,46.37063,,,
6/11/2019,53.27,46.336033,,,
6/12/2019,51.14,47.694523,,,
6/13/2019,52.28,48.704514,,,
6/14/2019,52.51,45.01069,,,
6/17/2019,51.93,46.214462,,,
6/18/2019,53.9,40.882587,,,
6/19/2019,53.76,38.72529,,,
6/20/2019,56.65,47.805267,,,
6/21/2019,57.43,47.779743,,,
6/24/2019,57.9,52.79248,,,
6/25/2019,57.83,55.005245,,,
6/26/2019,59.38,52.15648,,,
6/27/2019,59.43,51.58799,,,
6/28/2019,58.47,51.038185,,,
7/1/2019,59.09,51.849945,,,
7/2/2019,56.25,52.798893,,,
7/3/2019,57.34,52.64166,,,
7/4/2019,56.8,53.521347,,,
7/5/2019,57.51,53.26663,,,
7/8/2019,57.66,54.0269,,,
7/9/2019,57.83,50.904606,,,
7/10/2019,60.43,43.70295,,,
7/11/2019,60.2,49.09925,,,
7/12/2019,60.21,52.325584,,,
7/15/2019,59.58,61.90588,,,
7/16/2019,57.62,56.473362,,,
7/17/2019,56.78,54.89156,,,
7/18/2019,55.3,52.334663,,,
7/19/2019,55.63,52.882248,,,
7/22/2019,56.22,52.933556,,,
7/23/2019,56.77,49.507908,,,
7/24/2019,55.88,49.695923,,,
7/25/2019,56.02,49.987545,,,
7/26/2019,56.2,52.45247,,,
7/29/2019,56.87,54.700256,,,
7/30/2019,58.05,51.72705,,,
7/31/2019,58.58,52.304573,,,
8/1/2019,53.95,53.437477,,,
8/2/2019,55.66,52.865833,,,
8/5/2019,54.69,52.826443,,,
8/6/2019,53.63,51.048435,,,
8/7/2019,51.09,47.448383,,,
8/8/2019,52.54,49.316204,,,
8/9/2019,54.5,49.431026,,,
8/12/2019,54.93,48.881275,,,
8/13/2019,57.1,49.90664,,,
8/14/2019,55.23,48.538673,,,
8/15/2019,54.47,53.19704,,,
8/16/2019,54.87,54.932762,,,
8/19/2019,56.21,52.066666,,,
8/20/2019,56.34,49.97345,,,
8/21/2019,55.68,45.18755,,,
8/22/2019,55.35,45.853546,,,
8/23/2019,54.17,50.98096,,,
8/26/2019,53.64,50.8106,,,
8/27/2019,54.93,53.352497,,,
8/28/2019,55.78,51.034134,,,
8/29/2019,56.71,46.96985,,,
8/30/2019,55.1,47.766712,,,
9/1/2019,54.8,44.528244,,,
9/2/2019,54.66,51.262573,,,
9/3/2019,53.94,51.45623,,,
