Date,Real,Predicted,,,RMSE,R-Squared
7/20/2018,70.46,26.268555,,,0.23354,-4.09788
7/23/2018,67.89,26.072628,,,,
7/24/2018,68.52,25.812649,,,,
7/25/2018,69.3,25.859846,,,,
7/26/2018,69.61,25.531477,,,,
7/27/2018,68.69,25.217598,,,,
7/30/2018,70.13,24.879898,,,,
7/31/2018,68.76,25.051172,,,,
8/1/2018,67.66,25.298262,,,,
8/2/2018,68.96,25.131361,,,,
8/3/2018,68.49,25.215826,,,,
8/6/2018,69.01,25.031069,,,,
8/7/2018,69.17,24.813116,,,,
8/8/2018,66.94,24.37175,,,,
8/9/2018,66.81,24.285784,,,,
8/10/2018,67.63,24.245777,,,,
8/13/2018,67.2,24.125399,,,,
8/14/2018,67.04,23.986622,,,,
8/15/2018,65.01,24.39759,,,,
8/16/2018,65.46,24.288034,,,,
8/17/2018,65.91,24.274185,,,,
8/20/2018,66.43,24.501741,,,,
8/21/2018,67.35,24.578781,,,,
8/22/2018,67.86,24.695114,,,,
8/23/2018,67.83,25.033453,,,,
8/24/2018,68.72,25.144567,,,,
8/27/2018,68.87,25.333193,,,,
8/28/2018,68.53,25.44417,,,,
8/29/2018,69.51,25.275324,,,,
8/30/2018,70.25,25.048477,,,,
8/31/2018,69.8,25.28771,,,,
9/2/2018,69.92,25.072763,,,,
9/3/2018,70.12,25.183989,,,,
9/4/2018,69.87,25.068083,,,,
9/5/2018,68.72,25.272682,,,,
9/6/2018,67.77,25.433546,,,,
9/7/2018,67.75,25.108694,,,,
9/10/2018,67.54,25.173664,,,,
9/11/2018,69.25,25.168365,,,,
9/12/2018,70.37,24.872686,,,,
9/13/2018,68.59,24.845707,,,,
9/14/2018,68.99,24.970766,,,,
9/17/2018,68.91,24.959295,,,,
9/18/2018,69.85,24.99199,,,,
9/19/2018,71.12,25.129108,,,,
9/20/2018,70.8,24.859919,,,,
9/21/2018,70.78,24.983667,,,,
9/24/2018,72.08,25.546953,,,,
9/25/2018,72.28,26.119781,,,,
9/26/2018,71.57,26.254032,,,,
9/27/2018,72.12,26.100784,,,,
9/28/2018,73.25,26.40754,,,,
10/1/2018,75.3,26.117832,,,,
10/2/2018,75.23,25.795525,,,,
10/3/2018,76.41,25.31725,,,,
10/4/2018,74.33,25.207067,,,,
10/5/2018,74.34,25.163498,,,,
10/8/2018,74.29,25.205696,,,,
10/9/2018,74.96,25.801151,,,,
10/10/2018,73.17,25.6117,,,,
10/11/2018,70.97,25.778742,,,,
10/12/2018,71.34,25.742691,,,,
10/15/2018,71.78,25.896002,,,,
10/16/2018,71.92,25.73833,,,,
10/17/2018,69.75,25.986511,,,,
10/18/2018,68.65,25.942366,,,,
10/19/2018,69.12,25.32007,,,,
10/22/2018,69.17,24.656593,,,,
10/23/2018,66.43,24.478174,,,,
10/24/2018,66.82,24.010988,,,,
10/25/2018,67.33,24.076971,,,,
10/26/2018,67.59,24.520212,,,,
10/29/2018,67.04,24.737587,,,,
10/30/2018,66.18,24.588667,,,,
10/31/2018,65.31,25.22246,,,,
11/1/2018,63.69,25.31018,,,,
11/2/2018,63.14,25.177181,,,,
11/5/2018,63.1,25.27296,,,,
11/6/2018,62.21,25.139997,,,,
11/7/2018,61.67,24.548815,,,,
11/8/2018,60.67,24.34698,,,,
11/9/2018,60.19,24.663252,,,,
11/12/2018,59.93,24.77527,,,,
11/13/2018,55.69,25.283184,,,,
